Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-04-25,2014,4,25,Friday,16,2014-16,202.0,206.7,197.65,199.85,6996700,199.85,-0.03853552623552259,205.41642857142864,221.75140000000002
2014-04-28,2014,4,28,Monday,17,2014-17,200.0,203.79,190.5,198.51,7042000,198.51,-0.0067050865937207105,204.77285714285722,221.72900000000004
2014-04-29,2014,4,29,Tuesday,17,2014-17,198.21,207.15,195.53,206.92,5779100,206.92,0.042365643518365914,204.16285714285723,221.90280000000007
2014-04-30,2014,4,30,Wednesday,17,2014-17,203.6,208.16,201.28,207.89,4440600,207.89,0.004687807989980364,203.51714285714294,221.98660000000004
2014-05-01,2014,5,1,Thursday,17,2014-17,207.08,214.02,205.69,207.73,5439900,207.73,-0.0007696554070861783,203.77000000000007,222.26840000000004
2014-05-02,2014,5,2,Friday,17,2014-17,208.6,211.36,206.52,210.91,4086800,210.91,0.015308371443579327,204.27928571428578,222.28720000000004
2014-05-05,2014,5,5,Monday,18,2014-18,209.48,217.69,208.52,216.61,5147000,216.61,0.027025730639945955,205.60214285714292,222.42740000000006
2014-05-06,2014,5,6,Tuesday,18,2014-18,216.6,218.66,206.85,207.28,5636700,207.28,-0.04307281198820523,206.55714285714294,222.22000000000008
2014-05-07,2014,5,7,Wednesday,18,2014-18,209.64,210.2,197.25,201.35,10179300,201.35,-0.028608610144267965,206.71714285714293,221.2870000000001
2014-05-08,2014,5,8,Thursday,18,2014-18,182.0,194.4,178.0,178.59,20056600,178.59,-0.11303704532258074,205.32214285714295,219.79880000000009
2014-05-09,2014,5,9,Friday,18,2014-18,179.86,183.4,177.22,182.26,8495200,182.26,0.020549852982816086,203.74214285714294,218.39320000000006
2014-05-12,2014,5,12,Monday,19,2014-19,183.87,187.19,179.88,184.67,7002300,184.67,0.013222888921018638,201.3157142857144,217.19040000000007
2014-05-13,2014,5,13,Tuesday,19,2014-19,183.76,191.34,183.0,190.16,7097200,190.16,0.02972873529863551,200.04214285714292,215.9824000000001
2014-05-14,2014,5,14,Wednesday,19,2014-19,188.95,193.48,187.1,190.62,5406700,190.62,0.002418970583822011,198.81071428571434,214.6980000000001
2014-05-15,2014,5,15,Thursday,19,2014-19,189.98,192.66,185.3,188.59,6040400,188.59,-0.010649453526892061,198.00642857142864,213.4166000000001
2014-05-16,2014,5,16,Friday,19,2014-19,188.95,192.04,187.72,191.56,4487700,191.56,0.015748455794982297,197.51000000000008,212.18900000000008
2014-05-19,2014,5,19,Monday,20,2014-20,190.72,196.89,190.0,196.09,4571700,196.09,0.023647937132131425,196.73642857142866,211.1866000000001
2014-05-20,2014,5,20,Tuesday,20,2014-20,196.94,199.33,193.07,195.3,5546100,195.3,-0.004028728139560678,195.83714285714296,210.31580000000008
2014-05-21,2014,5,21,Wednesday,20,2014-20,196.18,199.87,194.79,199.45,5285400,199.45,0.02124932837499527,195.2457142857144,209.61660000000012
2014-05-22,2014,5,22,Thursday,20,2014-20,200.35,206.88,199.56,204.88,6214500,204.88,0.027224908586884533,194.8150000000001,208.88440000000008
2014-05-23,2014,5,23,Friday,20,2014-20,204.53,207.76,202.5,207.3,4006800,207.3,0.011811783049934466,194.15000000000012,208.27460000000008
2014-05-27,2014,5,27,Tuesday,21,2014-21,208.52,213.87,207.7,211.56,5341100,211.56,0.020549900839954782,194.45571428571438,207.88640000000007
2014-05-28,2014,5,28,Wednesday,21,2014-21,210.02,212.77,205.26,210.24,5495100,210.24,-0.006239327286171381,195.09071428571443,207.41160000000008
2014-05-29,2014,5,29,Thursday,21,2014-21,210.57,212.49,207.72,210.24,3692500,210.24,0.0,197.3514285714287,206.81560000000005
2014-05-30,2014,5,30,Friday,21,2014-21,210.3,214.8,207.02,207.77,5581100,207.77,-0.01174848342925594,199.1735714285716,206.25420000000005
2014-06-02,2014,6,2,Monday,22,2014-22,207.33,209.35,201.67,204.7,4668100,204.7,-0.014775989127828404,200.60428571428585,205.65000000000006
