,index,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,Profit/Loss,Account Balance
173,1180,2018-09-10,2018,9,10,Monday,36,2018-36,273.26,286.03,271.0,285.5,14283500,285.5,0.08456165701041796,301.91357142857163,318.23460000000017,11.674480717065409,149.733278638056
174,1181,2018-09-11,2018,9,11,Tuesday,36,2018-36,279.47,282.0,273.55,279.44,9170000,279.44,-0.02122591088824433,298.8807142857145,316.96440000000024,-3.178225229376035,146.55505340867995
175,1182,2018-09-12,2018,9,12,Wednesday,36,2018-36,281.44,292.5,278.65,290.54,10015400,290.54,0.03972232324125869,296.6592857142859,316.0738000000003,5.821507204139516,152.37656061281947
176,1183,2018-09-13,2018,9,13,Thursday,36,2018-36,288.02,295.0,285.18,289.46,6340300,289.46,-0.003717274929716852,294.47071428571445,315.6458000000003,-0.5664255686425141,151.81013504417697
177,1184,2018-09-14,2018,9,14,Friday,36,2018-36,288.76,297.33,286.52,295.2,6765600,295.2,0.019830100605955137,292.49785714285724,315.3666000000003,3.010410250929665,154.82054529510663
178,1185,2018-09-17,2018,9,17,Monday,37,2018-37,290.04,300.87,288.13,294.84,6887600,294.84,-0.0012195659019422767,290.75285714285724,315.0854000000003,-0.1888138579620218,154.6317314371446
179,1186,2018-09-18,2018,9,18,Tuesday,37,2018-37,296.69,302.64,275.5,284.96,16547500,284.96,-0.033509717153468836,288.83142857142866,314.41440000000017,-5.18166558340987,149.4500658537347
180,1187,2018-09-19,2018,9,19,Wednesday,37,2018-37,280.51,300.0,280.5,299.02,8294900,299.02,0.049340251193860096,288.4035714285715,313.9454000000003,7.373903790162204,156.82396964389693
181,1188,2018-09-20,2018,9,20,Thursday,37,2018-37,303.56,305.98,293.33,298.33,7349400,298.33,-0.0023075462068012924,288.05928571428575,313.5328000000003,-0.36187855628729537,156.46209108760962
182,1189,2018-09-21,2018,9,21,Friday,37,2018-37,297.7,300.58,295.37,299.1,5050500,299.1,0.0025811000097486487,287.8764285714286,313.1806000000003,0.40384430483152317,156.86593539244114
183,1190,2018-09-24,2018,9,24,Monday,38,2018-38,298.48,303.0,293.58,299.68,4843000,299.68,0.0019391058523245965,288.64285714285717,312.7968000000003,0.0,156.86593539244114
184,1191,2018-09-25,2018,9,25,Tuesday,38,2018-38,300.0,304.6,296.5,300.99,4481700,300.99,0.004371321378170867,290.08928571428584,312.6146000000003,0.0,156.86593539244114
185,1192,2018-09-26,2018,9,26,Wednesday,38,2018-38,301.91,313.89,301.11,309.58,7843200,309.58,0.028539142883794225,292.1342857142858,312.35240000000033,0.0,156.86593539244114
186,1193,2018-09-27,2018,9,27,Thursday,38,2018-38,312.9,314.96,306.91,307.52,8509100,307.52,-0.006654169028826651,295.297142857143,312.0258000000003,0.0,156.86593539244114
187,1194,2018-09-28,2018,9,28,Friday,38,2018-38,270.26,278.0,260.56,264.77,33649700,264.77,-0.13901535356161646,293.81642857142873,310.9166000000003,0.0,156.86593539244114
188,1195,2018-10-01,2018,10,1,Monday,39,2018-39,305.77,311.44,301.05,310.7,21777600,310.7,0.1734714095221257,296.0492857142859,310.8590000000003,0.0,156.86593539244114
189,1196,2018-10-02,2018,10,2,Tuesday,39,2018-39,313.95,316.84,299.15,301.02,11743500,301.02,-0.031155528847901067,296.79785714285737,310.8154000000003,0.0,156.86593539244114
190,1197,2018-10-03,2018,10,3,Wednesday,39,2018-39,303.33,304.6,291.57,294.8,7995000,294.8,-0.020663083674554942,297.17928571428587,310.76280000000025,0.0,156.86593539244114
191,1198,2018-10-04,2018,10,4,Thursday,39,2018-39,293.95,294.0,277.67,281.83,9814200,281.83,-0.04399593540625135,296.22428571428594,310.2246000000003,0.0,156.86593539244114
192,1199,2018-10-05,2018,10,5,Friday,39,2018-39,274.65,274.88,260.0,261.95,17944500,261.95,-0.07053888980027623,293.87500000000017,309.3306000000003,0.0,156.86593539244114
193,1200,2018-10-08,2018,10,8,Monday,40,2018-40,264.52,267.76,249.0,250.56,13472700,250.56,-0.04348163434875296,291.4178571428574,308.3982000000003,-6.820787244509232,150.0451481479319
194,1201,2018-10-09,2018,10,9,Tuesday,40,2018-40,255.25,266.77,253.3,262.8,12060600,262.8,0.04885053621343794,288.8307142857145,307.85080000000033,7.329785943251209,157.37493409118312
195,1202,2018-10-10,2018,10,10,Wednesday,40,2018-40,264.61,265.51,247.77,256.88,12815300,256.88,-0.022526572241776344,285.8700000000003,307.0256000000003,-3.545117821849827,153.8298162693333
196,1203,2018-10-11,2018,10,11,Thursday,40,2018-40,257.53,262.25,249.03,252.23,8167700,252.23,-0.018101872730011626,282.52214285714297,306.0534000000003,-2.784607756188543,151.04520851314476
197,1204,2018-10-12,2018,10,12,Friday,40,2018-40,261.0,261.99,252.01,258.78,7201400,258.78,0.025968374748073897,279.6007142857145,304.2382000000003,3.922398578570305,154.96760709171505
198,1205,2018-10-15,2018,10,15,Monday,41,2018-41,259.06,263.28,254.54,259.59,6200000,259.59,0.0031300624561969577,276.64357142857165,302.46660000000026,0.4850582888844587,155.4526653805995
