Year,Week_Number,mean_return,volatility,label
2017,51,-1.08,1.232267625,
2017,52,-1.07275,1.58398598,
2018,0,0.42975,1.832472169,green
2018,1,1.2434,2.89052215,green
2018,2,1.0165,1.236939637,green
2018,3,-0.4016,1.688542063,red
2018,4,0.0678,1.964960229,red
2018,5,-1.9378,4.430807116,red
2018,6,1.576,1.619297687,green
2018,7,1.2265,2.001304491,green
2018,8,-0.9606,2.244849505,red
2018,9,-0.4746,1.045269008,red
2018,10,-0.305,3.663529923,red
2018,11,-1.2502,1.883027934,red
2018,12,-2.94225,5.857625877,red
2018,13,2.5064,5.707714236,green
2018,14,0.1174,3.482304453,red
2018,15,-0.6534,2.667020304,red
2018,16,0.2814,2.130041385,red
2018,17,0.0482,3.41272819,red
2018,18,0.4818,1.751350679,red
2018,19,-1.6536,1.660858152,red
2018,20,0.1676,2.298878052,red
2018,21,1.165,2.413929162,green
2018,22,1.794,4.655019334,green
2018,23,2.4448,1.971581269,green
2018,24,-1.3412,4.115974514,red
2018,25,0.5652,1.783641135,green
2018,26,-2.5385,3.266586649,red
2018,27,0.6486,1.678232195,green
2018,28,-0.3052,2.705230988,red
2018,29,-1.035,2.901648928,red
2018,30,3.418,7.377721769,green
2018,31,0.5628,6.170959828,green
2018,32,-2.9324,3.549098872,red
2018,33,1.1232,1.911841442,green
2018,34,-1.3438,0.866693256,red
2018,35,-3.32075,2.674395181,red
2018,36,2.3832,4.1067113,green
2018,37,0.2976,2.969239684,green
2018,38,-2.2164,6.661824172,red
2018,39,0.1422,9.796862161,red
2018,40,-0.1858,3.797770359,red
2018,41,0.149,3.757779464,red
2018,42,5.0796,6.04158504,green
2018,43,0.9294,1.499027118,green
2018,44,0.2428,1.329628783,green
2018,45,0.259,3.230550804,red
2018,46,-2.065,1.458553393,red
2018,47,1.5082,3.153612326,green
2018,48,0.53875,1.528880064,green
2018,49,0.4484,2.213200239,green
2018,50,-2.6186,2.741112603,red
2018,51,1.33175,8.162251584,green
2018,52,-0.32,0,red
2019,0,-1.397333333,6.47236868,red
2019,1,1.8132,2.126163493,green
2019,2,-2.5682,6.291426523,red
2019,3,-0.40875,2.605967303,red
2019,4,1.0134,1.780426578,green
2019,5,-0.396,2.115723399,red
2019,6,0.1462,1.622671778,red
2019,7,-1.0715,2.033605091,red
2019,8,0.1058,4.95595235,red
2019,9,-0.7082,2.488013203,red
2019,10,-0.5804,3.158238797,red
2019,11,-0.7848,2.202552088,red
2019,12,1.1458,1.793582086,green
2019,13,-0.2582,4.779171131,red
2019,14,-0.525,1.480500591,red
2019,15,0.524,1.546554234,green
2019,16,-2.9404,2.197818646,red
2019,17,1.674,3.04350267,green
2019,18,-1.241,1.22864173,red
2019,19,-2.4362,3.966367255,red
2019,20,-1.9798,2.8344192,red
2019,21,-0.72175,0.950271672,red
2019,22,2.0866,4.521710108,green
2019,23,1.0326,2.897844164,green
2019,24,0.6678,2.764436688,green
2019,25,0.15,1.256814028,green
2019,26,1.0875,2.65731826,green
2019,27,1.0254,2.143847429,green
2019,28,1.0578,1.657578716,green
2019,29,-2.2714,6.4606046,red
2019,30,0.5746,2.638804237,green
2019,31,0.0724,1.957277395,red
2019,32,-1.26,3.72557613,red
2019,33,-0.7526,2.99582598,red
2019,34,1.3156,1.23292368,green
2019,35,0.22875,2.62611873,green
2019,36,1.5326,2.175147765,green
2019,37,-0.3678,1.47747934,red
2019,38,0.2254,4.960290294,red
2019,39,-0.8826,2.063105135,red
2019,40,1.3874,0.983520615,green
2019,41,0.7362,1.983134816,green
2019,42,5.2576,8.16548246,green
2019,43,-0.9114,1.463200362,red
2019,44,1.4842,1.343599903,green
2019,45,0.8824,1.260479393,green
2019,46,-1.0652,3.335659485,red
2019,47,-0.22525,1.452705149,red
2019,48,0.364,1.229538125,red
2019,49,1.3106,1.159313288,green
2019,50,2.536,2.812082858,green
2019,51,1.50175,1.431816649,green
2019,52,-1.384,3.194708437,red
